fname,x,y,bbox_x,bbox_y,bbox_w,bbox_h,area
2aada86263161acc6e207ea329759556d308458a,478,2,469.0,0.0,29.0,22.0,319.0
8f30778719e5af075797f994273603c94f170e29,74,168,68.0,149.0,15.0,28.0,210.0
8f30778719e5af075797f994273603c94f170e29,804,2322,792.0,2311.0,32.0,25.0,400.0
8f30778719e5af075797f994273603c94f170e29,756,2352,736.0,2332.0,40.0,40.0,800.0
8f30778719e5af075797f994273603c94f170e29,654,2318,640.0,2298.0,34.0,29.0,493.0
8f30778719e5af075797f994273603c94f170e29,1259,1567,1239.0,1547.0,40.0,40.0,800.0
8f30778719e5af075797f994273603c94f170e29,850,2356,843.0,2336.0,27.0,39.0,526.0
8f30778719e5af075797f994273603c94f170e29,786,2396,766.0,2376.0,22.0,22.0,242.0
8f30778719e5af075797f994273603c94f170e29,474,2224,454.0,2204.0,29.0,40.0,580.0
4808725b78d40aa66681ad501c830d735f6b1314,1914,13,1894.0,0.0,38.0,33.0,627.0
fcea4eb8b7a5366c5b751bd154e2109fc0f59ea8,135,106,132.0,103.0,22.0,23.0,253.0
fcea4eb8b7a5366c5b751bd154e2109fc0f59ea8,147,117,132.0,103.0,35.0,33.0,577.0
6a210373c943f674c84759c694dac4daba320a36,618,417,598.0,414.0,39.0,18.0,351.0
dfdf0ad53e67816ae834b060ee84ca52f352b0d5,3244,2217,3240.0,2197.0,24.0,14.0,168.0
dfdf0ad53e67816ae834b060ee84ca52f352b0d5,3372,2207,3363.0,2187.0,17.0,29.0,246.0
dfdf0ad53e67816ae834b060ee84ca52f352b0d5,3357,2178,3337.0,2158.0,40.0,40.0,800.0
a3044c98dd5281611d8a4d2f688d331f42757229,3236,251,3223.0,232.0,33.0,34.0,561.0
a3044c98dd5281611d8a4d2f688d331f42757229,3302,288,3288.0,280.0,24.0,24.0,288.0
a3044c98dd5281611d8a4d2f688d331f42757229,3426,249,3406.0,229.0,25.0,39.0,487.0
a3044c98dd5281611d8a4d2f688d331f42757229,3483,562,3463.0,553.0,40.0,13.0,260.0
a3044c98dd5281611d8a4d2f688d331f42757229,3507,552,3487.0,537.0,27.0,24.0,324.0
a3044c98dd5281611d8a4d2f688d331f42757229,3461,570,3441.0,550.0,40.0,31.0,620.0
a3044c98dd5281611d8a4d2f688d331f42757229,3425,576,3405.0,558.0,40.0,24.0,480.0
a3044c98dd5281611d8a4d2f688d331f42757229,3556,508,3558.0,491.0,18.0,27.0,243.0
878f052dd7639b59625c2e129241d32adadfe277,604,1108,589.0,1088.0,23.0,25.0,287.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,179,343,164.0,331.0,35.0,28.0,490.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,214,332,199.0,312.0,35.0,28.0,490.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,219,362,208.0,353.0,31.0,7.0,108.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,184,366,176.0,361.0,28.0,14.0,196.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,156,376,152.0,365.0,24.0,28.0,336.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,274,416,254.0,398.0,40.0,30.0,600.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,132,311,124.0,299.0,28.0,32.0,448.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,89,342,70.0,322.0,39.0,37.0,721.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,71,317,55.0,309.0,36.0,28.0,504.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,30,308,15.0,295.0,35.0,23.0,402.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,34,345,27.0,344.0,27.0,18.0,243.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,77,434,70.0,414.0,27.0,24.0,324.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,5,254,1.0,234.0,24.0,40.0,480.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c,5,212,1.0,192.0,24.0,40.0,480.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1179,513,1175.0,505.0,14.0,28.0,196.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1193,522,1175.0,505.0,14.0,31.0,217.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1193,549,1192.0,538.0,21.0,31.0,325.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1436,560,1419.0,540.0,33.0,40.0,660.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1409,706,1397.0,699.0,32.0,27.0,432.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1172,490,1157.0,470.0,23.0,30.0,345.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1178,484,1158.0,464.0,22.0,36.0,396.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1192,485,1180.0,465.0,25.0,40.0,500.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1151,480,1131.0,460.0,31.0,28.0,434.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1079,538,1066.0,531.0,19.0,27.0,256.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1167,437,1147.0,422.0,30.0,35.0,525.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1279,393,1259.0,373.0,31.0,40.0,620.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1312,436,1305.0,425.0,27.0,23.0,310.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1239,595,1230.0,593.0,29.0,20.0,290.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1295,556,1279.0,549.0,27.0,18.0,243.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1416,562,1396.0,542.0,40.0,40.0,800.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1416,545,1396.0,525.0,33.0,40.0,660.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1521,530,1501.0,510.0,19.0,40.0,380.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1340,517,1320.0,497.0,16.0,28.0,224.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1335,501,1315.0,498.0,21.0,23.0,241.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1328,566,1308.0,546.0,24.0,32.0,384.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1466,663,1446.0,643.0,40.0,35.0,700.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1423,647,1403.0,627.0,27.0,35.0,472.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1386,638,1374.0,620.0,24.0,25.0,300.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1321,436,1305.0,416.0,36.0,40.0,720.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1040,562,1038.0,550.0,17.0,32.0,272.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,922,488,908.0,487.0,24.0,21.0,252.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1090,345,1079.0,325.0,31.0,40.0,620.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1702,403,1682.0,387.0,30.0,36.0,540.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1242,17,1227.0,8.0,35.0,29.0,507.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1740,405,1721.0,394.0,30.0,22.0,330.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1695,431,1694.0,411.0,18.0,14.0,126.0
8b1a6dead4e015f168627d466b5eab09aedbf90d,1602,481,1582.0,465.0,17.0,21.0,178.0
da8d3a26ec2a89d871a54a211441fc5674885677,867,1532,853.0,1527.0,34.0,25.0,425.0
da8d3a26ec2a89d871a54a211441fc5674885677,619,1817,601.0,1798.0,34.0,22.0,374.0
da8d3a26ec2a89d871a54a211441fc5674885677,559,2005,545.0,1987.0,34.0,36.0,612.0
da8d3a26ec2a89d871a54a211441fc5674885677,695,1821,677.0,1801.0,35.0,29.0,507.0
da8d3a26ec2a89d871a54a211441fc5674885677,686,1739,666.0,1725.0,29.0,32.0,464.0
da8d3a26ec2a89d871a54a211441fc5674885677,717,1846,699.0,1828.0,38.0,27.0,513.0
da8d3a26ec2a89d871a54a211441fc5674885677,571,1829,562.0,1828.0,29.0,21.0,304.0
da8d3a26ec2a89d871a54a211441fc5674885677,585,1991,565.0,1971.0,34.0,40.0,680.0
da8d3a26ec2a89d871a54a211441fc5674885677,790,2082,773.0,2062.0,29.0,33.0,478.0
da8d3a26ec2a89d871a54a211441fc5674885677,705,2230,702.0,2210.0,23.0,30.0,345.0
da8d3a26ec2a89d871a54a211441fc5674885677,722,2134,727.0,2114.0,15.0,18.0,135.0
834979bd5a950935a84f82f34fe50c5ce4d7d769,581,386,565.0,366.0,36.0,40.0,720.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,735,437,715.0,430.0,38.0,27.0,513.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,1032,354,1018.0,334.0,34.0,31.0,527.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,721,395,701.0,375.0,40.0,40.0,800.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,688,376,668.0,370.0,40.0,26.0,520.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,671,386,664.0,370.0,27.0,36.0,486.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,642,407,623.0,387.0,39.0,40.0,780.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,652,463,632.0,443.0,40.0,40.0,800.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,593,365,573.0,359.0,40.0,26.0,520.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,759,401,739.0,381.0,40.0,40.0,800.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,764,370,746.0,350.0,38.0,40.0,760.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,788,390,768.0,370.0,40.0,29.0,580.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,795,340,786.0,320.0,29.0,32.0,464.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,821,337,801.0,327.0,29.0,25.0,362.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,813,290,793.0,270.0,40.0,40.0,800.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,836,291,816.0,271.0,40.0,40.0,800.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,858,296,838.0,276.0,40.0,40.0,800.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,875,309,855.0,289.0,27.0,17.0,229.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,911,314,909.0,294.0,22.0,27.0,297.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,953,329,933.0,309.0,36.0,40.0,720.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,636,542,616.0,531.0,40.0,31.0,620.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,676,565,656.0,545.0,40.0,30.0,600.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,671,605,651.0,587.0,40.0,38.0,760.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,623,592,603.0,572.0,37.0,19.0,351.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,617,630,598.0,610.0,39.0,34.0,663.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,650,639,630.0,631.0,40.0,28.0,560.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,601,521,581.0,519.0,33.0,22.0,363.0
3ecc8e0602ef15515aaea09a027371f19a35bdad,561,651,546.0,643.0,35.0,28.0,490.0
228cc25b00a878335321ee87cc180271133085f5,479,482,472.0,462.0,27.0,26.0,351.0
228cc25b00a878335321ee87cc180271133085f5,496,526,504.0,519.0,12.0,17.0,102.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,1958,861,1952.0,841.0,17.0,30.0,255.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,1871,935,1851.0,924.0,12.0,25.0,150.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,1926,853,1918.0,837.0,28.0,29.0,406.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,1984,890,1965.0,886.0,26.0,22.0,286.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,1997,866,1983.0,858.0,23.0,28.0,322.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,2019,823,2016.0,803.0,23.0,30.0,345.0
51ac889afa91c483aad8dd05dd69ff05f6a7dc0d,2101,832,2081.0,812.0,33.0,40.0,660.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1085,1840,1065.0,1820.0,35.0,40.0,700.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1093,1587,1073.0,1567.0,40.0,32.0,640.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1037,1701,1034.0,1691.0,23.0,30.0,345.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1100,1635,1080.0,1615.0,40.0,40.0,800.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1036,1688,1016.0,1679.0,29.0,25.0,362.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1179,1461,1172.0,1441.0,15.0,40.0,300.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1144,1852,1124.0,1832.0,40.0,40.0,800.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,904,1715,884.0,1695.0,40.0,40.0,800.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,750,1907,730.0,1887.0,11.0,17.0,93.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1117,1381,1101.0,1376.0,36.0,25.0,450.0
e4cccd54b1477447d67ffb2030b31f6f0ebf10bb,1095,1368,1075.0,1348.0,40.0,40.0,800.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1318,540,1307.0,525.0,31.0,35.0,542.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1212,423,1219.0,415.0,13.0,20.0,130.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1146,622,1126.0,603.0,40.0,33.0,660.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1297,556,1277.0,543.0,13.0,28.0,182.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1053,272,1033.0,256.0,33.0,36.0,594.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1169,245,1149.0,225.0,40.0,40.0,800.0
243e61b75a60521ba032a4abd3d7f38edc13eb47,1037,402,1034.0,386.0,23.0,36.0,414.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1529,845,1523.0,836.0,11.0,23.0,126.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1526,863,1516.0,856.0,24.0,10.0,120.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1542,870,1539.0,863.0,11.0,17.0,93.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1484,834,1475.0,829.0,28.0,19.0,266.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1507,802,1490.0,792.0,37.0,21.0,388.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1483,772,1479.0,765.0,24.0,16.0,192.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1413,723,1410.0,716.0,23.0,19.0,218.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1429,980,1411.0,960.0,21.0,29.0,304.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1340,820,1320.0,800.0,32.0,28.0,448.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,1238,711,1226.0,693.0,24.0,26.0,312.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,969,155,960.0,147.0,29.0,23.0,333.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,899,102,881.0,96.0,34.0,13.0,221.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,134,140,127.0,122.0,7.0,24.0,84.0
92abc45420f1c5439d13ca43dcb9a70aea344dc0,236,116,225.0,106.0,16.0,14.0,112.0
c40bf28b2f32ca2c1567ab16b43d5bdf1bb9e2e8,350,546,344.0,540.0,18.0,20.0,180.0
5d71a9cc266d0a099cb3712a69c44238283c3961,332,834,327.0,827.0,17.0,27.0,229.0
5d71a9cc266d0a099cb3712a69c44238283c3961,617,921,611.0,905.0,18.0,30.0,270.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3395,3240,3389.0,3231.0,10.0,22.0,110.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3358,3190,3347.0,3191.0,16.0,16.0,128.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3337,3188,3329.0,3179.0,18.0,15.0,135.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3449,3422,3432.0,3410.0,26.0,17.0,221.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3305,3404,3308.0,3415.0,13.0,9.0,58.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3321,3423,3327.0,3405.0,14.0,14.0,98.0
38ded6610ad6e0887ce750736b5a548b4c9286f4,3563,3073,3543.0,3053.0,29.0,24.0,348.0
029f91a65013265f752a8987e0952eb9880ec49c,601,57,596.0,49.0,25.0,28.0,350.0
029f91a65013265f752a8987e0952eb9880ec49c,287,89,274.0,70.0,28.0,39.0,546.0
86fe610140c5c957a1b916ef9d91b42376fd0ddd,4081,3019,4079.0,3020.0,22.0,19.0,209.0
c1fd47984538d199b6824e1b2e02fbed20077ef8,2280,293,2260.0,283.0,40.0,30.0,600.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,301,771,281.0,762.0,37.0,23.0,425.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,242,880,235.0,860.0,27.0,13.0,175.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1265,1257,1245.0,1237.0,30.0,38.0,570.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,305,903,285.0,883.0,40.0,40.0,800.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1252,1334,1241.0,1317.0,20.0,18.0,180.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1208,1334,1188.0,1314.0,31.0,28.0,434.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1185,1354,1182.0,1336.0,14.0,22.0,154.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,988,1219,981.0,1199.0,27.0,40.0,540.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1000,1240,986.0,1220.0,26.0,34.0,442.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1031,1266,1018.0,1246.0,33.0,27.0,445.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1076,1274,1058.0,1254.0,29.0,31.0,449.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1061,1303,1049.0,1283.0,28.0,27.0,378.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1053,1303,1049.0,1283.0,24.0,27.0,324.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,968,1116,968.0,1106.0,8.0,14.0,56.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,970,1069,950.0,1049.0,22.0,40.0,440.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,824,1048,804.0,1028.0,29.0,9.0,130.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1579,1329,1568.0,1315.0,21.0,18.0,189.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1501,1344,1483.0,1324.0,38.0,34.0,646.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,123,1197,106.0,1177.0,37.0,40.0,740.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,51,1231,31.0,1218.0,40.0,33.0,660.0
e5a91d644626b2e43c9e7b6b567f62459d07cab0,1288,53,1269.0,48.0,28.0,10.0,140.0
7dfe0a0e99aec16ef6c0a7a689586c694337482e,3766,3402,3748.0,3382.0,20.0,32.0,320.0
7e3227aa88b36b5f85935fed0d5965a6d45263df,400,2309,380.0,2289.0,40.0,36.0,720.0
13ac04811945643bda100740270d4807ba012411,1428,780,1408.0,760.0,40.0,40.0,800.0
93a82571ee2467c4745d112ae16f7e04957d6698,655,341,635.0,339.0,14.0,22.0,154.0
93a82571ee2467c4745d112ae16f7e04957d6698,695,420,681.0,400.0,27.0,12.0,162.0
93a82571ee2467c4745d112ae16f7e04957d6698,708,427,710.0,413.0,18.0,23.0,207.0
93a82571ee2467c4745d112ae16f7e04957d6698,633,355,622.0,341.0,27.0,31.0,418.0
93a82571ee2467c4745d112ae16f7e04957d6698,633,329,613.0,311.0,29.0,27.0,391.0
93a82571ee2467c4745d112ae16f7e04957d6698,642,373,625.0,353.0,13.0,19.0,123.0
93a82571ee2467c4745d112ae16f7e04957d6698,692,388,683.0,368.0,23.0,25.0,287.0
93a82571ee2467c4745d112ae16f7e04957d6698,673,406,663.0,387.0,18.0,31.0,279.0
93a82571ee2467c4745d112ae16f7e04957d6698,748,296,728.0,281.0,29.0,30.0,435.0
93a82571ee2467c4745d112ae16f7e04957d6698,660,254,653.0,245.0,13.0,20.0,130.0
93a82571ee2467c4745d112ae16f7e04957d6698,562,286,550.0,277.0,32.0,24.0,384.0
93a82571ee2467c4745d112ae16f7e04957d6698,545,289,532.0,275.0,18.0,21.0,189.0
93a82571ee2467c4745d112ae16f7e04957d6698,530,292,532.0,275.0,18.0,21.0,189.0
93a82571ee2467c4745d112ae16f7e04957d6698,588,215,572.0,207.0,21.0,24.0,252.0
93a82571ee2467c4745d112ae16f7e04957d6698,734,908,735.0,911.0,19.0,17.0,161.0
93a82571ee2467c4745d112ae16f7e04957d6698,699,889,694.0,869.0,25.0,24.0,300.0
93a82571ee2467c4745d112ae16f7e04957d6698,612,214,602.0,210.0,19.0,20.0,190.0
93a82571ee2467c4745d112ae16f7e04957d6698,541,135,531.0,125.0,19.0,22.0,209.0
93a82571ee2467c4745d112ae16f7e04957d6698,489,107,478.0,99.0,18.0,21.0,189.0
93a82571ee2467c4745d112ae16f7e04957d6698,773,1013,763.0,1003.0,14.0,26.0,182.0
93a82571ee2467c4745d112ae16f7e04957d6698,749,1031,741.0,1011.0,19.0,26.0,247.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,927,1071,918.0,1051.0,29.0,31.0,449.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,972,2390,952.0,2370.0,40.0,36.0,720.0
