fname,x,y,bbox_x,bbox_y,bbox_w,bbox_h,area
8f30778719e5af075797f994273603c94f170e29_00,74,168,68.0,143.0,18.0,34.0,306.0
8f30778719e5af075797f994273603c94f170e29_02,804,724,792.0,714.0,34.0,35.0,595.0
8f30778719e5af075797f994273603c94f170e29_02,756,754,749.0,753.0,32.0,26.0,416.0
8f30778719e5af075797f994273603c94f170e29_02,654,720,647.0,695.0,32.0,50.0,800.0
8f30778719e5af075797f994273603c94f170e29_02,850,758,830.0,733.0,45.0,50.0,1125.0
8f30778719e5af075797f994273603c94f170e29_02,786,798,787.0,773.0,17.0,25.0,212.0
8f30778719e5af075797f994273603c94f170e29_02,474,626,467.0,628.0,32.0,23.0,368.0
8f30778719e5af075797f994273603c94f170e29_11,60,768,35.0,756.0,29.0,37.0,536.0
4808725b78d40aa66681ad501c830d735f6b1314_10,570,13,545.0,0.0,43.0,38.0,817.0
fcea4eb8b7a5366c5b751bd154e2109fc0f59ea8_00,135,106,132.0,103.0,28.0,28.0,392.0
fcea4eb8b7a5366c5b751bd154e2109fc0f59ea8_00,147,117,132.0,103.0,38.0,34.0,646.0
6a210373c943f674c84759c694dac4daba320a36_00,618,417,,,,,
dfdf0ad53e67816ae834b060ee84ca52f352b0d5_11,1489,1045,1481.0,1051.0,26.0,19.0,247.0
dfdf0ad53e67816ae834b060ee84ca52f352b0d5_11,1617,1035,1599.0,1010.0,26.0,34.0,442.0
dfdf0ad53e67816ae834b060ee84ca52f352b0d5_11,1602,1006,1596.0,992.0,29.0,39.0,565.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,474,251,457.0,231.0,39.0,41.0,799.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,540,288,537.0,280.0,28.0,33.0,462.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,664,249,639.0,224.0,30.0,45.0,675.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,721,562,696.0,537.0,50.0,39.0,975.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,745,552,720.0,527.0,32.0,25.0,400.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,699,570,674.0,545.0,50.0,47.0,1175.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,663,576,638.0,558.0,50.0,26.0,650.0
a3044c98dd5281611d8a4d2f688d331f42757229_20,794,508,795.0,483.0,24.0,36.0,432.0
878f052dd7639b59625c2e129241d32adadfe277_12,47,366,32.0,341.0,25.0,29.0,362.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c_00,179,343,164.0,331.0,40.0,28.0,560.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c_00,214,332,199.0,307.0,40.0,33.0,660.0
1f2b5a52ee1fb08e508bd9db013802077fa3de8c_00,219,362,208.0,353.0,36.0,18.0,324.0
