               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18164,            0.017301,                   0,          2.8542e-05,           0.0011101,          1.4709e-05,          3.7281e-06,             0.16379,             0.01447,                   0,            0.070146,           0.0033171,           0.0033171
                   1,              0.1597,            0.014517,                   0,           0.0017113,            0.051146,           0.0020927,          0.00042879,             0.15331,            0.017468,                   0,            0.040124,           0.0066285,           0.0066285
                   2,             0.15263,            0.017498,                   0,            0.073622,            0.043851,            0.014039,            0.004272,             0.14684,            0.023155,                   0,             0.01008,           0.0099178,           0.0099178
                   3,             0.15039,            0.018378,                   0,             0.12788,              0.0923,            0.033371,           0.0083634,              0.1436,            0.023101,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.14775,            0.020881,                   0,             0.14797,             0.10665,            0.046125,            0.011662,               0.142,            0.023902,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.14688,            0.021208,                   0,             0.17783,             0.11062,            0.057076,            0.014312,             0.14122,            0.024482,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.14564,            0.021924,                   0,              0.1947,             0.11696,            0.063492,            0.014973,             0.14007,            0.025402,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.14518,            0.022644,                   0,             0.19482,             0.13385,            0.072354,            0.018968,             0.13938,            0.026059,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.14534,             0.02127,                   0,             0.20347,             0.13195,            0.079033,            0.020015,             0.13928,            0.025904,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.14442,            0.023765,                   0,             0.22131,              0.1306,            0.077711,            0.021193,             0.13861,            0.026075,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.14382,            0.023251,                   0,             0.24856,               0.149,             0.10051,            0.032783,             0.13764,            0.027356,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.14427,            0.022942,                   0,             0.24936,             0.14817,            0.096508,            0.022937,             0.13784,            0.026493,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.14351,            0.023742,                   0,               0.257,             0.14353,            0.093074,            0.022078,             0.13697,            0.028092,                   0,            0.009637,            0.009637,            0.009637
