               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07484,           0.0097155,                   0,            0.087864,              0.1282,            0.035159,            0.010749,            0.044313,           0.0091436,                   0,            0.070016,           0.0033315,           0.0033315
                   1,            0.055449,           0.0097563,                   0,             0.20773,             0.12474,            0.077812,            0.024545,            0.039658,            0.008999,                   0,            0.039994,           0.0066429,           0.0066429
                   2,            0.054165,           0.0095701,                   0,              0.2406,             0.11099,            0.081758,            0.027274,            0.041522,           0.0087509,                   0,           0.0099504,           0.0099322,           0.0099322
                   3,            0.052864,           0.0093444,                   0,             0.30016,             0.13764,             0.11558,            0.044106,            0.038494,           0.0087785,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.053072,           0.0095216,                   0,             0.19653,             0.13812,            0.091534,            0.025119,            0.039983,           0.0081573,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.050547,           0.0090988,                   0,             0.27455,             0.16962,             0.12605,            0.046259,            0.037468,           0.0085576,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.050822,           0.0093318,                   0,               0.273,             0.17937,             0.13954,            0.041995,             0.03835,           0.0079527,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.049384,           0.0089384,                   0,             0.32816,             0.21436,             0.18036,            0.062102,            0.037082,           0.0079191,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.048911,           0.0088481,                   0,             0.35699,             0.24324,             0.21516,            0.077916,            0.036288,           0.0077419,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.048128,           0.0087088,                   0,             0.28192,              0.2123,             0.16531,            0.048356,            0.037687,           0.0077105,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.048007,           0.0085049,                   0,             0.43282,             0.27691,             0.27612,             0.11426,            0.034912,           0.0074896,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.047877,           0.0085058,                   0,             0.42658,             0.30821,              0.3001,             0.11956,            0.033994,           0.0074327,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.046596,           0.0085644,                   0,             0.43821,             0.29981,             0.29522,             0.10785,            0.035418,           0.0071466,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.046531,            0.008496,                   0,             0.47782,             0.31123,             0.32576,             0.13226,            0.033754,            0.007097,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.045969,           0.0083094,                   0,             0.48383,             0.34153,             0.35102,             0.14269,            0.033517,           0.0068275,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.045255,           0.0080639,                   0,             0.46494,             0.34685,             0.34077,              0.1286,            0.032959,           0.0069092,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.045026,           0.0081598,                   0,             0.48077,             0.35153,             0.35472,             0.14669,            0.033116,            0.006908,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.044758,           0.0079622,                   0,             0.51522,              0.3564,             0.37111,             0.14788,            0.032681,           0.0068422,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.044897,           0.0081606,                   0,             0.50829,             0.35399,              0.3694,             0.14869,             0.03219,           0.0068879,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.045094,           0.0081737,                   0,             0.53123,             0.36752,             0.38712,             0.15725,            0.032488,            0.006682,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.044162,           0.0080781,                   0,             0.50885,             0.35946,             0.37515,             0.14295,            0.033237,           0.0066042,                   0,            0.009373,            0.009373,            0.009373
                  21,              0.0446,            0.007834,                   0,             0.50423,             0.37311,             0.37573,             0.14202,            0.032526,            0.006748,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.044345,           0.0079106,                   0,             0.53528,             0.37112,             0.39713,             0.16551,            0.031911,           0.0066467,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.044462,           0.0079133,                   0,             0.55601,              0.3923,             0.42037,             0.16671,            0.031042,             0.00658,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.043213,            0.007557,                   0,             0.55164,              0.3923,             0.42405,             0.18007,            0.030719,           0.0065676,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.043853,           0.0079652,                   0,             0.55012,             0.39857,              0.4229,             0.17648,            0.031013,           0.0065035,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.043586,           0.0079601,                   0,             0.55397,             0.40738,             0.43654,              0.1872,            0.030408,           0.0064704,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.044031,           0.0078854,                   0,             0.54255,             0.40246,              0.4315,             0.16496,            0.031826,           0.0063155,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.043321,           0.0078339,                   0,             0.54517,             0.41571,             0.43637,             0.18703,             0.03036,           0.0064517,                   0,            0.009109,            0.009109,            0.009109
